similes,y,endpoint
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0.0,NR-ER-LBD
CCN1C(=O)NC(c2ccccc2)C1=O,0.0,NR-ER-LBD
CC(O)(P(=O)(O)O)P(=O)(O)O,0.0,NR-ER-LBD
O=S(=O)(Cl)c1ccccc1,0.0,NR-ER-LBD
OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0,NR-ER-LBD
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.0,NR-ER-LBD
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0.0,NR-ER-LBD
CC(C)COC(=O)C(C)C,0.0,NR-ER-LBD
C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,NR-ER-LBD
O=C([O-])Cc1cccc2ccccc12,0.0,NR-ER-LBD
CCN(CC)C(=O)c1cccnc1,0.0,NR-ER-LBD
CCOc1ccc(S(=O)(=O)O)c2cccnc12,1.0,NR-ER-LBD
O=C(O)[C@H](O)c1ccccc1,0.0,NR-ER-LBD
Nc1ccc(/N=N/c2ccccc2)cc1,0.0,NR-ER-LBD
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0,NR-ER-LBD
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0.0,NR-ER-LBD
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0,NR-ER-LBD
C#CCO,0.0,NR-ER-LBD
Nc1ccccc1S(=O)(=O)O,0.0,NR-ER-LBD
CC(C)(C)CC(C)(C)N,0.0,NR-ER-LBD
CC(=O)CC(C)C,0.0,NR-ER-LBD
CCCC(C)=O,0.0,NR-ER-LBD
Nc1nc2ccccc2[nH]1,0.0,NR-ER-LBD
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,NR-ER-LBD
c1ccc(-c2ccccc2)cc1,0.0,NR-ER-LBD
CC(=O)Nc1ccc(C)c(Cl)c1,0.0,NR-ER-LBD
CCCCNC(=S)NCCCC,0.0,NR-ER-LBD
CCCCNC(=O)NCCCC,0.0,NR-ER-LBD
CC(C)N(c1ccccc1)C(C)C,0.0,NR-ER-LBD
CCc1cccc(C)c1,0.0,NR-ER-LBD
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0.0,NR-ER-LBD
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0,NR-ER-LBD
CCCCCCCCCCC=CC1CC(=O)OC1=O,0.0,NR-ER-LBD
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0,NR-ER-LBD
CCOP(=S)(CC)Sc1ccccc1,0.0,NR-ER-LBD
CC/C=C\CCCCO,0.0,NR-ER-LBD
Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,0.0,NR-ER-LBD
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.0,NR-ER-LBD
CC(=O)CCC(C)=O,0.0,NR-ER-LBD
N#CCCNCCC#N,0.0,NR-ER-LBD
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0.0,NR-ER-LBD
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,0.0,NR-ER-LBD
Cc1ccccc1CCO,0.0,NR-ER-LBD
Cc1nc(C)c(C)nc1C,0.0,NR-ER-LBD
CC(C)COC(=O)c1ccccc1,0.0,NR-ER-LBD
C=C(C)[C@@H]1CC=C(C)CC1,0.0,NR-ER-LBD
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0.0,NR-ER-LBD
Nc1ccc(N)c([N+](=O)[O-])c1,0.0,NR-ER-LBD
O=C(O)c1cc(Cl)cc(Cl)c1O,0.0,NR-ER-LBD
CC(C)CCCCCOC(=O)CCS,0.0,NR-ER-LBD
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.0,NR-ER-LBD
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0,NR-ER-LBD
F[B-](F)(F)F.[H+],0.0,NR-ER-LBD
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0.0,NR-ER-LBD
C(=C/c1ccccc1)\c1ccccc1,0.0,NR-ER-LBD
Cc1ccc2c(ccc3ccccc32)c1,0.0,NR-ER-LBD
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,0.0,NR-ER-LBD
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,1.0,NR-ER-LBD
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.0,NR-ER-LBD
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0.0,NR-ER-LBD
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0.0,NR-ER-LBD
CCCCCC(C)O,0.0,NR-ER-LBD
O=C([O-])c1ccccc1O,0.0,NR-ER-LBD
NC(=O)c1ccccc1,0.0,NR-ER-LBD
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,0.0,NR-ER-LBD
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,0.0,NR-ER-LBD
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0.0,NR-ER-LBD
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,NR-ER-LBD
Nc1ccc([N+](=O)[O-])cc1N,1.0,NR-ER-LBD
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0.0,NR-ER-LBD
Oc1nc(Cl)c(Cl)cc1Cl,0.0,NR-ER-LBD
C/C=C/C=C/C=O,0.0,NR-ER-LBD
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,0.0,NR-ER-LBD
C=CC(=O)OCCCl,0.0,NR-ER-LBD
COCC(C)N(C(=O)CCl)c1c(C)csc1C,0.0,NR-ER-LBD
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,0.0,NR-ER-LBD
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0.0,NR-ER-LBD
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0,NR-ER-LBD
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0,NR-ER-LBD
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.0,NR-ER-LBD
CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,0.0,NR-ER-LBD
O=C(O)/C=C(\CC(=O)O)C(=O)O,0.0,NR-ER-LBD
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,0.0,NR-ER-LBD
CC(C)(C)C1CCC(=O)CC1,0.0,NR-ER-LBD
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,0.0,NR-ER-LBD
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,0.0,NR-ER-LBD
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.0,NR-ER-LBD
CCCCC(=O)[O-],0.0,NR-ER-LBD
CCCCCCCCCCCCCC(=O)OC,0.0,NR-ER-LBD
CCCCCCC(C)O,0.0,NR-ER-LBD
CCC[Si](OC)(OC)OC,0.0,NR-ER-LBD
NCCNCCNCCN,0.0,NR-ER-LBD
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0.0,NR-ER-LBD
Cc1ccc(N)c(N)c1,1.0,NR-ER-LBD
CCCCCNCCCCC,0.0,NR-ER-LBD
COCC(C)O,0.0,NR-ER-LBD
c1ccc2c(c1)Oc1ccccc1S2,0.0,NR-ER-LBD
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0.0,NR-ER-LBD
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0.0,NR-ER-LBD
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0.0,NR-ER-LBD
ClCOCCl,0.0,NR-ER-LBD
CC(O)CNCC(C)O,0.0,NR-ER-LBD
C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,0.0,NR-ER-LBD
CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.0,NR-ER-LBD
O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,0.0,NR-ER-LBD
CCOC(=O)C1OC1c1ccccc1,0.0,NR-ER-LBD
ONc1ccccc1,0.0,NR-ER-LBD
O=CC(=O)c1ccccc1,0.0,NR-ER-LBD
ClCc1ccc(Cl)cc1Cl,0.0,NR-ER-LBD
O=C(O)CCCCCCCCC(=O)O,0.0,NR-ER-LBD
CCCCCCCC(=O)OC,0.0,NR-ER-LBD
CC(O)COCC(C)O,0.0,NR-ER-LBD
